39.191,39.451,40.352,44.905,43.839,44.995,66.449,102.92,136.3,174.54,99.55,118.55,122.99,136.45,153.67,157.7,176,204.48,267.81,280.71,56.026,61.677,71.737,97.08,118.59,118.55,117.8,122.22,122.35,119.51,-1
40.077,38.576,40.023,41.201,43.489,44.051,47.987,74.53,130.44,168.12,117.09,134.47,131.9,132.86,137.36,165.01,166.4,197.67,235.04,246.61,64.526,69.825,87.805,114.57,131.46,130.46,110.65,122.45,125.57,117.27,-1
38.991,39.061,39.842,41.257,44.304,49.687,78.852,152.96,193.67,184.97,114.76,126.11,122.46,120.04,152.89,167.49,171.3,208.31,223.08,240.26,65.892,89.225,110.3,116.99,117.46,118,123.74,122.02,124.6,119.79,-1
39.385,39.365,39.675,39.927,41.005,42.592,44.115,53.692,65.564,106.09,90.002,94.986,99.702,111.1,118.35,123.21,146.04,173.14,174.91,207.57,63.514,61.154,84.403,103.37,123.08,120.35,121.05,127.07,124.56,126.51,-1
39.418,38.73,39.858,40.865,41.772,45.519,52.893,65.671,115.13,182.83,101.71,120.94,125.75,140.04,162.57,168.16,158.16,181.01,189.92,184.54,69.131,80.41,101.23,120.7,120.37,110.27,105.64,122.4,133.87,133.31,-1
38.102,39.296,40.048,40.953,42.279,46.177,59.977,78.655,131.59,153.56,102.93,118.72,115.21,137.37,153.93,141.36,151.57,159.1,185.19,171.89,66.384,82.612,101.63,121.04,109.56,105.15,108.84,113.27,120.09,115.59,-1
39.441,38.291,39.098,39.426,41.307,42.952,51.493,84.292,175.46,216.47,99.299,127.92,147.33,165.56,163.16,172.45,167.27,180.31,237.25,278.31,62.822,72.573,97.478,124.17,145.6,142.06,134.47,128.55,139.92,139.95,-1
38.453,38.067,39.328,41.215,41.184,41.622,42.11,46.7,64.2,96.275,136.64,151.35,183.51,172.58,190.53,201.87,173.66,167.33,182.21,224.72,66.239,76.925,93.293,109.33,125.81,139.43,137.68,129.85,119.49,120.68,-1
39.637,38.769,39.629,41.048,41.839,43.677,47.555,67.341,135.07,141.54,135.08,160.75,184.58,192.03,176.8,171.42,164.72,186.6,232.2,235.76,68.08,84.111,121.81,160.75,166.59,158.1,152.64,147.84,134.82,122.24,-1
39.175,38.131,39.565,42.594,42.458,44.869,50.852,63.319,106.27,152.08,117.45,129.6,143.41,157.65,147.65,143.76,151.78,169.71,192.72,228.55,69.416,90.148,123.96,165.92,169.53,130.63,112.5,119.35,114.64,127.63,-1
38.916,39.547,39.586,41.369,43.647,49.971,83.687,135.39,159.9,140.93,140.21,168.56,163.48,153.59,139.19,160.53,201.64,250.76,255.07,209.72,80.291,114.74,153.87,162.33,153.72,123.08,118.79,124.18,123.37,135.81,-1
37.969,39.646,40.325,40.397,45.027,46.577,58.361,104.76,176.65,151.03,150.88,131.57,129.85,149.75,156.24,166.4,152.17,177.6,226.32,217.19,91.285,117.93,132.33,133.98,122.12,116.28,115.55,119.7,131.33,140.59,-1
